"sampleSize" "method" "rep" "id" "estTrue" "lo95True" "hi95True" "estImp" "lo95Imp" "hi95Imp" "error" "errorMessage"
10 "naive" 10 11 3.25289378800438 -50767.7567730927 50774.2625606687 4.63716315020284 -177076.210549473 177085.484875773 FALSE ""
10 "naive" 10 11 -0.00711505236235085 -78424.7071935802 78424.6929634754 -10.5740300586521 -81341.46714973 81320.3190896127 FALSE ""
10 "naive" 10 11 -10.3599128323305 -108959.187210266 108938.467384602 13.1936588703194 -355817.380619681 355843.767937422 FALSE ""
10 "naive" 10 11 6.25736187302384 -56827.6296526552 56840.1443764013 6.27498552725556 -547052.682171667 547065.232142722 FALSE ""
10 "naive" 10 11 -23.5294385933518 -56512.6022661344 56465.5433889476 8.67916523188371 -923324.993339547 923342.351670011 FALSE ""
10 "naive" 10 11 -5.89630257213362 -56522.7986639848 56511.0060588406 9.01208394318116 -652888.610522335 652906.634690221 FALSE ""
100 "naive" 43 12 -0.0232046641817056 -0.511126903927501 0.464717575564089 -0.566092481978052 -1.13578287954686 0.00359791559075828 FALSE ""
100 "naive" 43 12 -0.482716858039129 -0.795219098985112 -0.170214617093147 -0.666204150657915 -1.10699856792877 -0.225409733387058 FALSE ""
100 "naive" 43 12 -0.961251039984544 -1.30388649952327 -0.618615580445815 -0.448848742932949 -0.705238906030412 -0.192458579835486 FALSE ""
100 "naive" 43 12 0.229066482089289 -0.434343054034411 0.892476018212988 0.140671906690332 -0.60214445805969 0.883488271440353 FALSE ""
100 "naive" 43 12 -0.0670331478598202 -0.77581389664029 0.641747600920649 0.254863060716834 -0.545201157454598 1.05492727888827 FALSE ""
100 "naive" 43 12 -0.708423211170478 -1.50352454885809 0.0866781265171336 -1.36658496137159 -2.5169008589223 -0.216269063820883 FALSE ""
100 "naive" 24 13 -0.446193397215817 -0.942775255312935 0.0503884608813009 -0.769212167832719 -1.27735739046907 -0.261066945196366 FALSE ""
100 "naive" 24 13 -0.796201106485157 -1.26143595052347 -0.330966262446842 -0.690191496194091 -1.18032588651955 -0.200057105868637 FALSE ""
100 "naive" 24 13 -0.584717516366937 -0.994282327257129 -0.175152705476744 -0.398111849619523 -0.759857218369328 -0.0363664808697179 FALSE ""
100 "naive" 24 13 -0.763713920892382 -1.44507073622294 -0.0823571055618222 -0.515005052084274 -1.36534010401701 0.33532999984846 FALSE ""
100 "naive" 24 13 -0.563675803858772 -1.50306688737894 0.375715279661395 -0.504412886153077 -1.66056590387414 0.651740131567985 FALSE ""
100 "naive" 24 13 -0.780418528561482 -1.68784298638225 0.12700592925928 -0.422898800110386 -1.50339054763812 0.657592947417345 FALSE ""
100 "naive" 30 14 -0.446193397215817 -0.942775255312935 0.0503884608813009 -0.769212167832719 -1.27735739046907 -0.261066945196366 FALSE ""
100 "naive" 30 14 -0.796201106485157 -1.26143595052347 -0.330966262446842 -0.690191496194091 -1.18032588651955 -0.200057105868637 FALSE ""
100 "naive" 30 14 -0.584717516366937 -0.994282327257129 -0.175152705476744 -0.398111849619523 -0.759857218369328 -0.0363664808697179 FALSE ""
100 "naive" 30 14 -0.763713920892382 -1.44507073622294 -0.0823571055618222 -0.515005052084274 -1.36534010401701 0.33532999984846 FALSE ""
100 "naive" 30 14 -0.563675803858772 -1.50306688737894 0.375715279661395 -0.504412886153077 -1.66056590387414 0.651740131567985 FALSE ""
100 "naive" 30 14 -0.780418528561482 -1.68784298638225 0.12700592925928 -0.422898800110386 -1.50339054763812 0.657592947417345 FALSE ""
100 "naive" 2 15 -0.446193397215817 -0.942775255312935 0.0503884608813009 -0.769212167832719 -1.27735739046907 -0.261066945196366 FALSE ""
100 "naive" 2 15 -0.796201106485157 -1.26143595052347 -0.330966262446842 -0.690191496194091 -1.18032588651955 -0.200057105868637 FALSE ""
100 "naive" 2 15 -0.584717516366937 -0.994282327257129 -0.175152705476744 -0.398111849619523 -0.759857218369328 -0.0363664808697179 FALSE ""
100 "naive" 2 15 -0.763713920892382 -1.44507073622294 -0.0823571055618222 -0.515005052084274 -1.36534010401701 0.33532999984846 FALSE ""
100 "naive" 2 15 -0.563675803858772 -1.50306688737894 0.375715279661395 -0.504412886153077 -1.66056590387414 0.651740131567985 FALSE ""
100 "naive" 2 15 -0.780418528561482 -1.68784298638225 0.12700592925928 -0.422898800110386 -1.50339054763812 0.657592947417345 FALSE ""
10 "naive" 35 16 3.25289378800438 -50767.7567730927 50774.2625606687 4.63716315020284 -177076.210549473 177085.484875773 FALSE ""
10 "naive" 35 16 -0.00711505236235085 -78424.7071935802 78424.6929634754 -10.5740300586521 -81341.46714973 81320.3190896127 FALSE ""
10 "naive" 35 16 -10.3599128323305 -108959.187210266 108938.467384602 13.1936588703194 -355817.380619681 355843.767937422 FALSE ""
10 "naive" 35 16 6.25736187302384 -56827.6296526552 56840.1443764013 6.27498552725556 -547052.682171667 547065.232142722 FALSE ""
10 "naive" 35 16 -23.5294385933518 -56512.6022661344 56465.5433889476 8.67916523188371 -923324.993339547 923342.351670011 FALSE ""
10 "naive" 35 16 -5.89630257213362 -56522.7986639848 56511.0060588406 9.01208394318116 -652888.610522335 652906.634690221 FALSE ""
10 "naive" 34 17 22.9683635781294 -6529.03148517527 6574.96821233153 87.3804109771328 -56147.0164879559 56321.7773099102 FALSE ""
10 "naive" 34 17 1.4283148625245 -20864.6049173258 20867.4615470508 -54.5083194995131 -48775.867671878 48666.851032879 FALSE ""
10 "naive" 34 17 -33.8833332763274 -10057.7438656264 9989.97719907374 11.5550882760089 -20490.2881361699 20513.3983127219 FALSE ""
10 "naive" 34 17 19.9486722370403 -11024.1877353507 11064.0850798248 -68.1140699421991 -27899.702622463 27763.4744825786 FALSE ""
